Day,timeSlot,Weather,Temperature,PM2.5
23,1,,,
23,2,,,
23,3,,,
23,4,,,
23,5,,,
23,6,,,
23,7,,,
23,8,,,
23,9,,,
23,10,,,
23,11,,,
23,12,,,
23,13,,,
23,14,,,
23,15,,,
23,16,,,
23,17,,,
23,18,,,
23,19,,,
23,20,,,
23,21,,,
23,22,,,
23,23,,,
23,24,,,
23,25,,,
23,26,,,
23,27,,,
23,28,,,
23,29,,,
23,30,,,
23,31,,,
23,32,,,
23,33,,,
23,34,,,
23,35,,,
23,36,,,
23,37,,,
23,38,,,
23,39,,,
23,40,,,
23,41,,,
23,42,,,
23,43,4.0,1.0,94.0
23,44,,,
23,45,,,
23,46,,,
23,47,,,
23,48,,,
23,49,,,
23,50,,,
23,51,,,
23,52,,,
23,53,,,
23,54,,,
23,55,,,
23,56,,,
23,57,,,
23,58,,,
23,59,,,
23,60,,,
23,61,,,
23,62,,,
23,63,,,
23,64,,,
23,65,,,
23,66,,,
23,67,,,
23,68,3.0,-1.0,107.0
23,69,,,
23,70,,,
23,71,,,
23,72,,,
23,73,,,
23,74,,,
23,75,,,
23,76,,,
23,77,,,
23,78,,,
23,79,,,
23,80,3.0,-1.0,56.0
23,81,,,
23,82,,,
23,83,,,
23,84,,,
23,85,,,
23,86,,,
23,87,,,
23,88,,,
23,89,,,
23,90,,,
23,91,3.0,0.0,48.0
23,92,3.0,0.0,48.0
23,93,,,
23,94,,,
23,95,,,
23,96,,,
23,97,,,
23,98,,,
23,99,,,
23,100,,,
23,101,,,
23,102,,,
23,103,,,
23,104,3.0,-2.0,43.0
23,105,,,
23,106,,,
23,107,,,
23,108,,,
23,109,,,
23,110,,,
23,111,,,
23,112,,,
23,113,,,
23,114,,,
23,115,,,
23,116,2.0,-2.0,42.0
23,117,,,
23,118,,,
23,119,,,
23,120,,,
23,121,,,
23,122,,,
23,123,,,
23,124,,,
23,125,,,
23,126,,,
23,127,,,
23,128,1.0,-4.0,51.0
23,129,,,
23,130,,,
23,131,,,
23,132,,,
23,133,,,
23,134,,,
23,135,,,
23,136,,,
23,137,,,
23,138,,,
23,139,2.0,-4.0,56.0
23,140,2.0,-4.0,56.0
23,141,2.0,-4.0,56.0
23,142,,,
23,143,,,
23,144,,,
25,1,,,
25,2,,,
25,3,,,
25,4,,,
25,5,,,
25,6,,,
25,7,,,
25,8,,,
25,9,,,
25,10,,,
25,11,,,
25,12,,,
25,13,,,
25,14,,,
25,15,,,
25,16,,,
25,17,,,
25,18,,,
25,19,,,
25,20,,,
25,21,,,
25,22,,,
25,23,,,
25,24,,,
25,25,,,
25,26,,,
25,27,,,
25,28,,,
25,29,,,
25,30,,,
25,31,,,
25,32,,,
25,33,,,
25,34,,,
25,35,,,
25,36,,,
25,37,,,
25,38,,,
25,39,,,
25,40,,,
25,41,,,
25,42,,,
25,43,,,
25,44,,,
25,45,,,
25,46,,,
25,47,,,
25,48,,,
25,49,,,
25,50,,,
25,51,,,
25,52,,,
25,53,,,
25,54,,,
25,55,,,
25,56,2.0,-6.0,52.0
25,57,,,
25,58,,,
25,59,,,
25,60,,,
25,61,,,
25,62,,,
25,63,,,
25,64,,,
25,65,,,
25,66,,,
25,67,,,
25,68,,,
25,69,1.0,-1.0,55.0
25,70,,,
25,71,,,
25,72,,,
25,73,,,
25,74,,,
25,75,,,
25,76,,,
25,77,,,
25,78,,,
25,79,1.0,1.0,50.0
25,80,,,
25,81,1.0,1.0,50.0
25,82,,,
25,83,,,
25,84,,,
25,85,,,
25,86,,,
25,87,,,
25,88,,,
25,89,,,
25,90,,,
25,91,1.0,3.0,44.0
25,92,,,
25,93,1.0,3.0,44.0
25,94,,,
25,95,,,
25,96,,,
25,97,,,
25,98,,,
25,99,,,
25,100,,,
25,101,,,
25,102,,,
25,103,1.0,3.0,46.0
25,104,,,
25,105,1.0,2.0,46.0
25,106,,,
25,107,,,
25,108,,,
25,109,,,
25,110,,,
25,111,,,
25,112,,,
25,113,,,
25,114,,,
25,115,2.0,1.0,48.0
25,116,,,
25,117,2.0,1.0,48.0
25,118,,,
25,119,,,
25,120,,,
25,121,,,
25,122,,,
25,123,,,
25,124,,,
25,125,,,
25,126,,,
25,127,1.0,-1.0,61.0
25,128,1.0,-1.0,61.0
25,129,1.0,-1.0,61.0
25,130,,,
25,131,,,
25,132,,,
25,133,,,
25,134,,,
25,135,,,
25,136,,,
25,137,,,
25,138,,,
25,139,1.0,-1.0,72.0
25,140,1.0,-1.0,72.0
25,141,1.0,-1.0,72.0
25,142,,,
25,143,,,
25,144,,,
27,1,,,
27,2,,,
27,3,,,
27,4,,,
27,5,,,
27,6,,,
27,7,,,
27,8,,,
27,9,,,
27,10,,,
27,11,,,
27,12,,,
27,13,,,
27,14,,,
27,15,,,
27,16,,,
27,17,,,
27,18,,,
27,19,,,
27,20,,,
27,21,,,
27,22,,,
27,23,,,
27,24,,,
27,25,,,
27,26,,,
27,27,,,
27,28,,,
27,29,,,
27,30,,,
27,31,,,
27,32,,,
27,33,,,
27,34,,,
27,35,,,
27,36,,,
27,37,,,
27,38,,,
27,39,,,
27,40,,,
27,41,,,
27,42,,,
27,43,3.0,3.0,76.0
27,44,3.0,3.0,76.0
27,45,3.0,3.0,76.0
27,46,,,
27,47,,,
27,48,,,
27,49,,,
27,50,,,
27,51,,,
27,52,,,
27,53,,,
27,54,,,
27,55,,,
27,56,4.0,3.0,70.0
27,57,,,
27,58,,,
27,59,,,
27,60,,,
27,61,,,
27,62,,,
27,63,,,
27,64,,,
27,65,,,
27,66,,,
27,67,2.0,4.0,67.0
27,68,2.0,4.0,67.0
27,69,2.0,4.0,67.0
27,70,,,
27,71,,,
27,72,,,
27,73,,,
27,74,,,
27,75,,,
27,76,,,
27,77,,,
27,78,,,
27,79,4.0,5.0,77.0
27,80,4.0,5.0,77.0
27,81,4.0,5.0,77.0
27,82,,,
27,83,,,
27,84,,,
27,85,,,
27,86,,,
27,87,,,
27,88,,,
27,89,,,
27,90,,,
27,91,4.0,5.0,74.0
27,92,4.0,5.0,74.0
27,93,4.0,5.0,74.0
27,94,,,
27,95,,,
27,96,,,
27,97,,,
27,98,,,
27,99,,,
27,100,,,
27,101,,,
27,102,,,
27,103,2.0,5.0,83.0
27,104,2.0,5.0,83.0
27,105,2.0,5.0,83.0
27,106,,,
27,107,,,
27,108,,,
27,109,,,
27,110,,,
27,111,,,
27,112,,,
27,113,,,
27,114,,,
27,115,2.0,4.0,110.0
27,116,2.0,4.0,110.0
27,117,,,
27,118,,,
27,119,,,
27,120,,,
27,121,,,
27,122,,,
27,123,,,
27,124,,,
27,125,,,
27,126,,,
27,127,4.0,4.0,117.0
27,128,4.0,4.0,117.0
27,129,4.0,4.0,117.0
27,130,,,
27,131,,,
27,132,,,
27,133,,,
27,134,,,
27,135,,,
27,136,,,
27,137,,,
27,138,,,
27,139,2.0,4.0,111.0
27,140,2.0,4.0,111.0
27,141,2.0,4.0,111.0
27,142,,,
27,143,,,
27,144,,,
29,1,,,
29,2,,,
29,3,,,
29,4,,,
29,5,,,
29,6,,,
29,7,,,
29,8,,,
29,9,,,
29,10,,,
29,11,,,
29,12,,,
29,13,,,
29,14,,,
29,15,,,
29,16,,,
29,17,,,
29,18,,,
29,19,,,
29,20,,,
29,21,,,
29,22,,,
29,23,,,
29,24,,,
29,25,,,
29,26,,,
29,27,,,
29,28,,,
29,29,,,
29,30,,,
29,31,,,
29,32,,,
29,33,,,
29,34,,,
29,35,,,
29,36,,,
29,37,,,
29,38,,,
29,39,,,
29,40,,,
29,41,,,
29,42,,,
29,43,,,
29,44,,,
29,45,,,
29,46,,,
29,47,,,
29,48,,,
29,49,,,
29,50,,,
29,51,,,
29,52,,,
29,53,,,
29,54,,,
29,55,4.0,6.0,30.0
29,56,,,
29,57,,,
29,58,,,
29,59,,,
29,60,,,
29,61,,,
29,62,,,
29,63,,,
29,64,,,
29,65,,,
29,66,,,
29,67,,,
29,68,4.0,6.0,29.0
29,69,,,
29,70,,,
29,71,,,
29,72,,,
29,73,,,
29,74,,,
29,75,,,
29,76,,,
29,77,,,
29,78,,,
29,79,4.0,5.0,31.0
29,80,,,
29,81,4.0,5.0,31.0
29,82,,,
29,83,,,
29,84,,,
29,85,,,
29,86,,,
29,87,,,
29,88,,,
29,89,,,
29,90,,,
29,91,4.0,5.0,35.0
29,92,4.0,4.0,35.0
29,93,4.0,4.0,35.0
29,94,,,
29,95,,,
29,96,,,
29,97,,,
29,98,,,
29,99,,,
29,100,,,
29,101,,,
29,102,,,
29,103,4.0,4.0,46.0
29,104,,,
29,105,4.0,4.0,46.0
29,106,,,
29,107,,,
29,108,,,
29,109,,,
29,110,,,
29,111,,,
29,112,,,
29,113,,,
29,114,,,
29,115,3.0,4.0,46.0
29,116,3.0,4.0,46.0
29,117,3.0,4.0,46.0
29,118,,,
29,119,,,
29,120,,,
29,121,,,
29,122,,,
29,123,,,
29,124,,,
29,125,,,
29,126,,,
29,127,,,
29,128,3.0,4.0,46.0
29,129,3.0,4.0,46.0
29,130,,,
29,131,,,
29,132,,,
29,133,,,
29,134,,,
29,135,,,
29,136,,,
29,137,,,
29,138,,,
29,139,3.0,4.0,61.0
29,140,3.0,4.0,61.0
29,141,3.0,4.0,61.0
29,142,,,
29,143,,,
29,144,,,
31,1,,,
31,2,,,
31,3,,,
31,4,,,
31,5,,,
31,6,,,
31,7,,,
31,8,,,
31,9,,,
31,10,,,
31,11,,,
31,12,,,
31,13,,,
31,14,,,
31,15,,,
31,16,,,
31,17,,,
31,18,,,
31,19,,,
31,20,,,
31,21,,,
31,22,,,
31,23,,,
31,24,,,
31,25,,,
31,26,,,
31,27,,,
31,28,,,
31,29,,,
31,30,,,
31,31,,,
31,32,,,
31,33,,,
31,34,,,
31,35,,,
31,36,,,
31,37,,,
31,38,,,
31,39,,,
31,40,,,
31,41,,,
31,42,,,
31,43,2.0,2.0,74.0
31,44,2.0,2.0,74.0
31,45,2.0,2.0,74.0
31,46,,,
31,47,,,
31,48,,,
31,49,,,
31,50,,,
31,51,,,
31,52,,,
31,53,,,
31,54,,,
31,55,,,
31,56,3.0,3.0,73.0
31,57,2.0,3.0,73.0
31,58,,,
31,59,,,
31,60,,,
31,61,,,
31,62,,,
31,63,,,
31,64,,,
31,65,,,
31,66,,,
31,67,2.0,3.0,82.0
31,68,2.0,3.0,82.0
31,69,,,
31,70,,,
31,71,,,
31,72,,,
31,73,,,
31,74,,,
31,75,,,
31,76,,,
31,77,,,
31,78,,,
31,79,2.0,3.0,95.0
31,80,,,
31,81,2.0,3.0,95.0
31,82,,,
31,83,,,
31,84,,,
31,85,,,
31,86,,,
31,87,,,
31,88,,,
31,89,,,
31,90,,,
31,91,,,
31,92,,,
31,93,2.0,4.0,109.0
31,94,,,
31,95,,,
31,96,,,
31,97,,,
31,98,,,
31,99,,,
31,100,,,
31,101,,,
31,102,,,
31,103,,,
31,104,4.0,2.0,109.0
31,105,,,
31,106,,,
31,107,,,
31,108,,,
31,109,,,
31,110,,,
31,111,,,
31,112,,,
31,113,,,
31,114,,,
31,115,8.0,1.0,92.0
31,116,,,
31,117,8.0,1.0,92.0
31,118,,,
31,119,,,
31,120,,,
31,121,,,
31,122,,,
31,123,,,
31,124,,,
31,125,,,
31,126,,,
31,127,8.0,1.0,75.0
31,128,6.0,1.0,75.0
31,129,8.0,1.0,75.0
31,130,,,
31,131,,,
31,132,,,
31,133,,,
31,134,,,
31,135,,,
31,136,,,
31,137,,,
31,138,,,
31,139,8.0,1.0,69.0
31,140,8.0,1.0,69.0
31,141,8.0,1.0,69.0
31,142,,,
31,143,,,
31,144,,,
